scenario,run,phase,requests_total,success,failed,success_rate_percent,error_rate_percent,avg_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,outliers_gt_10s
latency-10min-async-limited,run-05-router,baseline,180,180,0,100.0,0.0,3.34,3.62,5.03,5.65,1.21,6.16,0
latency-10min-async-limited,run-05-router,fault,1796,3,1793,0.17,99.83,6061.9,2050.74,37083.0,70788.04,6.6,659943.63,148
latency-10min-async-limited,run-05-router,after,180,180,0,100.0,0.0,9.36,3.29,5.38,60.93,1.05,1062.45,0
latency-10min-async-limited,run-06-router,overall,2156,361,1795,16.74,83.26,7290.65,1110.72,38321.36,134753.53,1.11,673449.79,182
latency-10min-async-limited,run-06-router,baseline,180,180,0,100.0,0.0,3.14,3.29,5.01,7.26,1.11,8.5,0
latency-10min-async-limited,run-06-router,fault,1796,1,1795,0.06,99.94,8750.84,2055.7,68462.66,135014.64,40.19,673449.79,182
latency-10min-async-limited,run-06-router,after,180,180,0,100.0,0.0,8.61,2.87,5.25,8.12,1.16,1007.85,0
latency-10min-async-limited,run-07-router,overall,1234,181,1053,14.67,85.33,15610.06,1151.72,71095.65,135810.03,0.93,3520135.79,165
latency-10min-async-limited,run-07-router,baseline,180,180,0,100.0,0.0,2.98,2.94,5.01,7.19,0.93,9.1,0
latency-10min-async-limited,run-07-router,fault,1054,1,1053,0.09,99.91,18275.4,2066.66,132582.03,135942.53,4.19,3520135.79,165
latency-10min-async-limited,run-07-router,after,0,0,0,,,,,,,,,
latency-10min-async-limited,run-08-router,overall,2156,363,1793,16.84,83.16,6204.23,1109.34,37124.07,133224.04,0.93,665515.52,165
latency-10min-async-limited,run-08-router,baseline,180,180,0,100.0,0.0,3.23,3.44,5.3,8.57,1.03,8.85,0
latency-10min-async-limited,run-08-router,fault,1796,3,1793,0.17,99.83,7446.62,2051.37,38266.86,134049.39,9.88,665515.52,165
latency-10min-async-limited,run-08-router,after,180,180,0,100.0,0.0,8.9,3.51,5.51,10.22,0.93,1004.0,0
latency-10min-async-limited,run-09-router,overall,2156,362,1794,16.79,83.21,7498.45,1114.32,39129.84,134671.04,1.09,739962.21,192
latency-10min-async-limited,run-09-router,baseline,179,179,0,100.0,0.0,3.28,3.44,5.14,8.05,1.11,8.61,0
latency-10min-async-limited,run-09-router,fault,1798,4,1794,0.22,99.78,8990.77,2052.76,69150.39,135018.9,2.29,739962.21,192
latency-10min-async-limited,run-09-router,after,179,179,0,100.0,0.0,3.68,3.49,4.99,7.2,1.09,79.06,0
latency-10min-async-limited,run-10-router,overall,2156,362,1794,16.79,83.21,8087.47,1111.12,68272.36,135069.13,0.95,602330.97,188
latency-10min-async-limited,run-10-router,baseline,180,180,0,100.0,0.0,3.23,3.38,5.14,7.23,0.97,7.71,0
latency-10min-async-limited,run-10-router,fault,1796,2,1794,0.11,99.89,9707.25,2053.53,69426.37,135416.79,24.64,602330.97,188
latency-10min-async-limited,run-10-router,after,180,180,0,100.0,0.0,9.88,3.55,5.03,89.45,0.95,1089.97,0
latency-30min-async-limited,run-01-router,overall,1378,180,1198,13.06,86.94,11481.95,1104.84,3109.5,71184.21,0.99,2755165.86,45
latency-30min-async-limited,run-01-router,baseline,180,180,0,100.0,0.0,2.66,2.28,4.6,5.28,0.99,5.84,0
latency-30min-async-limited,run-01-router,fault,1198,0,1198,0.0,100.0,13206.72,1596.64,3113.0,278542.08,4.82,2755165.86,45
latency-30min-async-limited,run-01-router,after,0,0,0,,,,,,,,,
latency-30min-async-limited,run-02-router,overall,5749,359,5390,6.24,93.76,3712.39,1121.12,3109.21,70246.13,0.88,943019.36,195
latency-30min-async-limited,run-02-router,baseline,180,180,0,100.0,0.0,3.09,3.12,5.23,8.89,0.88,9.4,0
latency-30min-async-limited,run-02-router,fault,5389,0,5389,0.0,100.0,3960.16,1385.0,3110.59,70366.83,8.31,943019.36,195
latency-30min-async-limited,run-02-router,after,180,179,1,99.44,0.56,3.76,3.62,4.86,16.43,1.0,74.03,0
latency-30min-async-limited,run-03-router,overall,3408,180,3228,5.28,94.72,6524.98,1126.74,3116.82,133317.79,0.93,1801928.18,148
latency-30min-async-limited,run-03-router,baseline,180,180,0,100.0,0.0,3.18,3.29,5.07,8.36,0.93,9.1,0
latency-30min-async-limited,run-03-router,fault,3228,0,3228,0.0,100.0,6888.64,1646.09,5110.21,133488.82,13.74,1801928.18,148
latency-30min-async-limited,run-03-router,after,0,0,0,,,,,,,,,
latency-30min-async-limited,run-04-router,overall,5749,360,5389,6.26,93.74,3881.9,1121.46,3110.14,70363.14,0.95,962154.48,208
latency-30min-async-limited,run-04-router,baseline,179,179,0,100.0,0.0,3.32,3.53,5.03,6.26,0.95,8.32,0
latency-30min-async-limited,run-04-router,fault,5390,1,5389,0.02,99.98,4140.03,1377.14,3111.05,70429.78,3.93,962154.48,208
latency-30min-async-limited,run-04-router,after,180,180,0,100.0,0.0,9.33,3.75,5.03,6.98,1.26,1057.79,0
latency-30min-async-limited,run-05-router,overall,2025,180,1845,8.89,91.11,15847.47,1118.84,3110.1,1000193.17,1.28,1417802.24,69
latency-30min-async-limited,run-05-router,baseline,179,179,0,100.0,0.0,3.29,3.54,4.96,6.42,1.28,6.42,0
latency-30min-async-limited,run-05-router,fault,1846,1,1845,0.05,99.95,17383.82,1531.7,3111.92,1002196.51,3.77,1417802.24,69
latency-30min-async-limited,run-05-router,after,0,0,0,,,,,,,,,
latency-30min-async-limited,run-06-router,overall,2381,180,2201,7.56,92.44,50428.92,1129.34,36981.67,1082247.38,0.91,2029552.38,138
latency-30min-async-limited,run-06-router,baseline,179,179,0,100.0,0.0,3.51,3.75,5.13,6.32,0.91,6.41,0
latency-30min-async-limited,run-06-router,fault,2202,1,2201,0.05,99.95,54527.98,1807.21,38917.33,1082335.67,4.87,2029552.38,138
latency-30min-async-limited,run-06-router,after,0,0,0,,,,,,,,,
latency-30min-async-limited,run-07-router,overall,5749,362,5387,6.3,93.7,4090.35,1120.78,3111.04,132881.06,0.92,942928.13,204
latency-30min-async-limited,run-07-router,baseline,179,179,0,100.0,0.0,3.5,3.61,5.39,7.23,1.05,9.86,0
latency-30min-async-limited,run-07-router,fault,5390,3,5387,0.06,99.94,4362.42,1525.09,3112.59,133049.83,2.06,942928.13,204
latency-30min-async-limited,run-07-router,after,180,180,0,100.0,0.0,7.41,3.29,4.88,6.48,0.92,780.35,0
latency-30min-async-limited,run-08-router,overall,1597,180,1417,11.27,88.73,9424.79,1112.48,3112.86,71016.68,1.14,1996762.68,65
latency-30min-async-limited,run-08-router,baseline,179,179,0,100.0,0.0,3.13,3.02,5.21,9.74,1.14,12.42,0
latency-30min-async-limited,run-08-router,fault,1418,1,1417,0.07,99.93,10614.13,1605.35,5240.0,71082.32,3.13,1996762.68,65
latency-30min-async-limited,run-08-router,after,0,0,0,,,,,,,,,
latency-30min-async-limited,run-09-router,overall,1918,180,1738,9.38,90.62,12775.49,1111.3,3105.5,297041.18,0.92,2566896.93,52
latency-30min-async-limited,run-09-router,baseline,179,179,0,100.0,0.0,2.94,2.67,5.23,10.66,0.92,10.83,0
latency-30min-async-limited,run-09-router,fault,1739,1,1738,0.06,99.94,14090.2,1235.68,3107.05,297669.22,1.86,2566896.93,52
latency-30min-async-limited,run-09-router,after,0,0,0,,,,,,,,,
latency-30min-async-limited,run-10-router,overall,1111,180,931,16.2,83.8,10741.93,1103.47,4945.47,101590.19,0.8,6453296.45,47
latency-30min-async-limited,run-10-router,baseline,179,179,0,100.0,0.0,3.06,2.95,5.1,6.38,0.8,7.62,0
latency-30min-async-limited,run-10-router,fault,932,1,931,0.11,99.89,12804.44,1630.62,10090.53,102529.17,3.78,6453296.45,47
latency-30min-async-limited,run-10-router,after,0,0,0,,,,,,,,,
